measure,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4
violin-I-5,random-2-3-'gs3-'d4~ppp,=>,=>,=>,=>,random-2-3-'ds4-'a4~pp,=>,=>,=>,random-2-3-'as4-'e5~p,=>,=>,random-2-3-'as4-'a5~mp,=>,random-2-3-'as4-'a5,random-2-5-'as4-'a5,random-2-7-'as4-'a5,random-2-13-'as4-'a5,random-2-17-'as4-'a5,random-2-30-'as4-'a5,random-12-24-'as4-'a5,random-12-24-'as4-'a5,random-12-24-'as4-'a5,random-12-24-'as4-'a5,random-12-24-'as4-'a5,random-12-24-'as4-'a5,,,,,,,,,,,,,,
violin-I-6,random-2-3-'gs3-'d4~ppp,=>,=>,=>,=>,random-2-3-'ds4-'a4~pp,=>,=>,=>,random-2-3-'as4-'e5~p,=>,=>,random-2-3-'as4-'a5~mp,=>,random-2-3-'as4-'a5,random-2-5-'as4-'a5,random-2-7-'as4-'a5,random-2-13-'as4-'a5,random-2-17-'as4-'a5,random-2-30-'as4-'a5,random-12-24-'as4-'a5,random-12-24-'as4-'a5,random-12-24-'as4-'a5,random-12-24-'as4-'a5,random-12-24-'as4-'a5,random-12-24-'as4-'a5,random-12-24-'as4-'a5,random-12-24-'as4-'a5,,,,,,,,,,,,
violin-II-1,random-2-3-'gs3-'d4~ppp,=>,=>,=>,=>,random-2-3-'gs3-'d4~pp,=>,=>,=>,random-2-3-'ds4-'a4~p,=>,=>,random-2-3-'ds4-'d5~mp,=>,random-2-3-'ds4-'d5,random-2-5-'ds4-'d5,random-2-7-'ds4-'d5,random-2-13-'ds4-'d5,random-2-17-'ds4-'d5,random-2-30-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,,,,,,,,,,,,
violin-II-2,random-2-3-'gs3-'d4~ppp,=>,=>,=>,=>,random-2-3-'gs3-'d4~pp,=>,=>,=>,random-2-3-'ds4-'a4~p,=>,=>,random-2-3-'ds4-'d5~mp,=>,random-2-3-'ds4-'d5,random-2-5-'ds4-'d5,random-2-7-'ds4-'d5,random-2-13-'ds4-'d5,random-2-17-'ds4-'d5,random-2-30-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,random-12-24-'ds4-'d5,,,,,,,,,,,,
violin-II-3,random-2-3-'gs3-'d4~ppp,=>,=>,=>,=>,random-2-3-'gs3-'d4~pp,=>,=>,=>,random-2-3-'gs3-'d4~p,=>,=>,random-2-3-'gs3-'g4~mp,=>,random-2-3-'gs3-'g4~,random-2-5-'gs3-'g4~,random-2-7-'gs3-'g4~,random-2-13-'gs3-'g4~,random-2-17-'gs3-'g4~,random-2-30-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,,,,,,,,,,,
violin-II-4,random-2-3-'gs3-'d4~ppp,=>,=>,=>,=>,random-2-3-'gs3-'d4~pp,=>,=>,=>,random-2-3-'gs3-'d4~p,=>,=>,random-2-3-'gs3-'g4~mp,=>,random-2-3-'gs3-'g4~,random-2-5-'gs3-'g4~,random-2-7-'gs3-'g4~,random-2-13-'gs3-'g4~,random-2-17-'gs3-'g4~,random-2-30-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,random-12-24-'gs3-'g4~,,,,,,,,,,,
violin-II-5,random-2-3-'gs3-'d4~ppp,=>,=>,=>,=>,random-2-3-'gs3-'d4~pp,=>,=>,=>,random-2-3-'gs3-'d4~p,=>,=>,random-2-3-'gs3-'g4~mp,=>,random-2-3-'gs3-'g4~,random-2-5-'gs3-'g4~,random-2-7-'gs3-'g4~,random-2-13-'gs3-'g4~,random-2-17-'gs3-'g4~,random-2-30-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,,,,,,,,,,,
viola-1,,,,,,,,,,,,,random-2-3-'as4-'a5~mp,=>,random-2-3-'as4-'a5~,random-2-5-'as4-'a5~,random-2-7-'as4-'a5~,random-2-13-'as4-'a5~,random-2-17-'as4-'a5~,random-2-30-'as4-'a5~,random-6-12-'as4-'a5~,random-6-12-'as4-'a5~,random-6-12-'as4-'a5~,random-6-12-'as4-'a5~,random-6-12-'as4-'a5~,random-6-12-'as4-'a5~,random-6-12-'as4-'a5~,random-6-12-'as4-'a5~,random-6-12-'as4-'a5~,random-6-12-'as4-'a5~,random-6-12-'as4-'a5~,random-6-12-'as4-'a5~,,,,,,,,
viola-2,,,,,,,,,,,,,random-2-3-'ds4-'d5~mp,=>,random-2-3-'ds4-'d5~,random-2-5-'ds4-'d5~,random-2-7-'ds4-'d5~,random-2-13-'ds4-'d5~,random-2-17-'ds4-'d5~,random-2-30-'ds4-'d5~,random-6-12-'ds4-'d5~,random-6-12-'ds4-'d5~,random-6-12-'ds4-'d5~,random-6-12-'ds4-'d5~,random-6-12-'ds4-'d5~,random-6-12-'ds4-'d5~,random-6-12-'ds4-'d5~,random-6-12-'ds4-'d5~,random-6-12-'ds4-'d5~,random-6-12-'ds4-'d5~,random-6-12-'ds4-'d5~,random-6-12-'ds4-'d5~,,,,,,,,
viola-3,,,,,,,,,,,,,random-2-3-'gs3-'g4~mp,=>,random-2-3-'gs3-'g4~,random-2-5-'gs3-'g4~,random-2-7-'gs3-'g4~,random-2-13-'gs3-'g4~,random-2-17-'gs3-'g4~,random-2-30-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,random-6-12-'gs3-'g4~,,,,,,,,
viola-4,,,,,,,,,,,,,random-2-3-'cs3-'c4~mp,=>,random-2-3-'cs3-'c4~,random-2-5-'cs3-'c4~,random-2-7-'cs3-'c4~,random-2-13-'cs3-'c4~,random-2-17-'cs3-'c4~,random-2-30-'cs3-'c4~,random-6-12-'cs3-'c4~,random-6-12-'cs3-'c4~,random-6-12-'cs3-'c4~,random-6-12-'cs3-'c4~,random-6-12-'cs3-'c4~,random-6-12-'cs3-'c4~,random-6-12-'cs3-'c4~,random-6-12-'cs3-'c4~,random-6-12-'cs3-'c4~,random-6-12-'cs3-'c4~,random-6-12-'cs3-'c4~,random-6-12-'cs3-'c4~,,,,,,,,
cello-1,,,,,,,,,,,,,,,random-2-3-'as3-'a4~,random-2-5-'as3-'a4~,random-2-7-'as3-'a4~,random-2-13-'as3-'a4~,random-2-17-'as3-'a4~,random-2-30-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,random-3-6-'as3-'a4~,,
cello-2,,,,,,,,,,,,,,,random-2-3-'ds3-'d4~,random-2-5-'ds3-'d4~,random-2-7-'ds3-'d4~,random-2-13-'ds3-'d4~,random-2-17-'ds3-'d4~,random-2-30-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,random-3-6-'ds3-'d4~,,
cello-3,,,,,,,,,,,,,,,random-2-3-'gs2-'g3~,random-2-5-'gs2-'g3~,random-2-7-'gs2-'g3~,random-2-13-'gs2-'g3~,random-2-17-'gs2-'g3~,random-2-30-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,random-3-6-'gs2-'g3~,,
contrabass-1,,,,,,,,,,,,,,,,random-2-5-'gs2-'g3,random-2-7-'gs2-'g3,random-2-13-'gs2-'g3,random-2-17-'gs2-'g3,random-2-30-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,,
contrabass-2,,,,,,,,,,,,,,,,random-2-5-'gs2-'g3,random-2-7-'gs2-'g3,random-2-13-'gs2-'g3,random-2-17-'gs2-'g3,random-2-30-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,random-2-3-'gs2-'g3,,
