measure,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,2/4,4/4,4/4,4/4,2/4,4/4,4/4,2/4,2/4,4/4,7/8,2/4,4/4,3/8,2/4
glockenspiel,,,,,,,,,,,,,,,,,,,,,rendaSkip-92-'g7-1-1,=>,=>,=>,,,,
violin-I-1,,,,rendaSkip-16-'g4-1-10,rendaSkip-16-'g4-1-10,,,rendaSkip-32-'g4-1-32,rendaSkip-32-'g4-1-20,rendaSkip-32-'g4-1-20,,,,,rendaSkip-96-'b4-1-3,=>,=>,,,,,,,rendaSkip-88-'e6-1-1,=>,=>,=>,
violin-I-2,,,,,,,,,,,,,,,rendaSkip-72-'e5-1-4,=>,=>,,,,,,,rendaSkip-88-'cs5-1-1,=>,=>,=>,
violin-I-3,,,,,,,,,,,,,,,,,,,,,,,,rendaSkip-88-'d5-1-1,=>,=>,=>,
violin-I-4,,,,,,,,,,,,,,,,,,,,,,,,rendaSkip-88-'b3-1-1,=>,=>,=>,
violin-II-1,,,,rendaSkip-24-'g4-1-20,rendaSkip-24-'g4-1-20,,,,rendaSkip-20-'a4-1-20,rendaSkip-20-'a4-1-20,,,,,rendaSkip-60-'a4-1-4,=>,=>,,,,,,,,,rendaSkip-44-'e6-1-1,=>,
violin-II-2,,,,,,,,,,,,,,,rendaSkip-48-'g3-1-5,=>,=>,,,,,,,,,rendaSkip-44-'cs5-1-1,=>,
violin-II-3,,,,,,,,,,,,,,,,,,,,,,,,,,rendaSkip-44-'d5-1-1,=>,
violin-II-4,,,,,,,,,,,,,,,,,,,,,,,,,,rendaSkip-44-'b3-1-1,=>,
viola-1,,,,,rendaSkip-20-'g4-1-20,,,,rendaSkip-16-'g4-1-10,rendaSkip-16-'g4-1-10,rendaSkip-20-'b4-1-10,rendaSkip-12-'f4-1-7,,,rendaSkip-36-'f4-1-4,=>,=>,,,,,,,,,rendaSkip-44-'g3-1-1,=>,
viola-2,,,,,,,,,,,,,,,rendaSkip-24-'d3-1-4,=>,=>,,,,,,,,,rendaSkip-44-'g3-1-1,=>,
cello-1,,,,,,,,,rendaSkip-32-'g3-1-10,rendaSkip-32-'g3-1-10,,rendaSkip-16-'c3-1-6,,,,rendaSkip-12-'c2-1-4,=>,,,,,,,,,rendaSkip-44-'fs3-1-1,=>,
contrabass,,,,,,,,,rendaSkip-16-'c2-1-9,rendaSkip-16-'c2-1-9,,,,,,rendaSkip-12-'a1-1-4,=>,,,,,,,,,rendaSkip-44-'d3-1-1,=>,
