measure,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,5/8,5/8,4/4,4/4,7/8,7/8,4/4,4/4,2/4,2/4,4/4,5/8,4/4,7/8,2/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4
horn-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horn-III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horn-IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trumpet-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trumpet-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trumpet-III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trombone-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trombone-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b-trombone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
percussion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glockenspiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
violin-I-1,line-16-'g3-'g6,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,,line-24-'g3-'g6,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,line-32-'g3-'g6,=>,=>,=>,=>,=>,=>,=>,,,,,,line-48-'g3-'g6,=>,=>,=>,=>,=>,,,,,line-64-'g3-'g6,=>,=>,=>,=>,,,,,,line-72-'g3-'g6,=>,=>,,,,line-72-'g3-'g6,=>,=>,,,,line-72-'g3-'g6,=>,,,,,,,,,,,,,line-72-'g3-'g6,=>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
violin-I-2,,lineEnd-16-'g3-'g6-1-15,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,,,lineEnd-24-'g3-'g6-1-18,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,lineEnd-32-'g3-'g6-1-29,=>,=>,=>,=>,=>,=>,=>,,,,,,lineEnd-48-'g3-'g6-1-40,=>,=>,=>,=>,=>,,,,,lineEnd-64-'g3-'g6-1-57,=>,=>,=>,=>,,,,,,lineEnd-72-'g3-'g6-1-69,=>,=>,,,,lineEnd-72-'g3-'g6-1-69,=>,=>,,,,line-72-'g3-'g6,=>,,,,,,,,,,,line-72-'g3-'g6,=>,line-72-'g3-'g6,=>,,,line-72-'g3-'g6,=>,,,,,,,,,,,,,,,,,,,,,,,,,
violin-I-3,,,lineEnd-16-'g3-'g6-1-15,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,,,,lineEnd-24-'g3-'g6-1-18,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,lineEnd-32-'g3-'g6-1-29,=>,=>,=>,=>,=>,=>,=>,,,,,,lineEnd-48-'g3-'g6-1-40,=>,=>,=>,=>,=>,,,,,lineEnd-64-'g3-'g6-1-57,=>,=>,=>,=>,,,,,,lineEnd-72-'g3-'g6-1-69,=>,=>,,,,lineEnd-72-'g3-'g6-1-69,=>,=>,,,,line-72-'g3-'g6,=>,,,,,,,,,line-72-'g3-'g6,=>,,,line-72-'g3-'g6,=>,line-72-'g3-'g6,=>,,,,,,,,,,,,,,,,,,,,,,,,,,
violin-I-4,,,,lineEnd-16-'g3-'g6-1-15,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,,,,lineEnd-24-'g3-'g6-1-18,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,lineEnd-32-'g3-'g6-1-29,=>,=>,=>,=>,=>,=>,=>,,,,,,lineEnd-48-'g3-'g6-1-40,=>,=>,=>,=>,=>,,,,,,,,,,,,,,,lineEnd-72-'g3-'g6-1-69,=>,=>,,,,lineEnd-72-'g3-'g6-1-69,=>,=>,,,,line-72-'g3-'g6,=>,,,,,,,line-72-'g3-'g6,=>,,,,,line-72-'g3-'g6,=>,,line-72-'g3-'g6,=>,,,,,,,,,,,,,,,,,,,,,,,,
violin-I-5,,,,,lineEnd-16-'g3-'g6-1-15,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,,,,lineEnd-24-'g3-'g6-1-18,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,lineEnd-32-'g3-'g6-1-29,=>,=>,=>,=>,=>,=>,=>,,,,,,lineEnd-48-'g3-'g6-1-40,=>,=>,=>,=>,=>,,,,,,,,,,,,,,,,,,,,,,,,,,,line-72-'g3-'g6,=>,,,,,line-72-'g3-'g6,=>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
violin-I-6,,,,,,lineEnd-16-'g3-'g6-1-15,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,,,,lineEnd-24-'g3-'g6-1-18,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,lineEnd-32-'g3-'g6-1-29,=>,=>,=>,=>,=>,=>,=>,,,,,,lineEnd-48-'g3-'g6-1-40,=>,=>,=>,=>,=>,,,,,,,,,,,,,,,,,,,,,,,,,,,line-72-'g3-'g6,=>,,,line-72-'g3-'g6,=>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
violin-II-1,,,,,,,lineEnd-16-'g3-'g6-1-15,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line-64-'g3-'g6,=>,=>,=>,=>,,,,,,,line-72-'g3-'g6,=>,=>,,,,,,,,,,,,line-72-'g3-'g6,=>,line-72-'g3-'g6,=>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
violin-II-2,,,,,,,,lineEnd-16-'g3-'g6-1-15,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lineEnd-64-'g3-'g6-1-57,=>,=>,=>,=>,,,,,,,lineEnd-72-'g3-'g6-1-69,=>,=>,,,,,,,,,,,,line-72-'g3-'g6,=>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
violin-II-3,random-2-3-'gs3-'d4,,,,,,,,lineEnd-16-'g3-'g6-1-15,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lineEnd-64-'g3-'g6-1-57,=>,=>,=>,=>,,,,,,,lineEnd-72-'g3-'g6-1-69,=>,=>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
violin-II-4,random-2-3-'gs3-'d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lineEnd-72-'g3-'g6-1-69,=>,=>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
violin-II-5,random-2-3-'gs3-'d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viola-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viola-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viola-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cello-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cello-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cello-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contrabass,line-100-'c4-'e1,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,=>,,,,,,,,,,,,,,,,,,,,,,,,,
